Sample,Predicted,Actual
0,versicolor,versicolor
1,setosa,setosa
2,virginica,virginica
3,versicolor,versicolor
4,versicolor,versicolor
5,setosa,setosa
6,versicolor,versicolor
7,virginica,virginica
8,versicolor,versicolor
9,versicolor,versicolor
10,virginica,virginica
11,setosa,setosa
12,setosa,setosa
13,setosa,setosa
14,setosa,setosa
15,versicolor,versicolor
16,virginica,virginica
17,versicolor,versicolor
18,versicolor,versicolor
19,virginica,virginica
20,setosa,setosa
21,virginica,virginica
22,setosa,setosa
23,virginica,virginica
24,virginica,virginica
25,virginica,virginica
26,virginica,virginica
27,virginica,virginica
28,setosa,setosa
29,setosa,setosa
